Kode KBLI 2025,Judul KBLI 2025,Uraian KBLI 2025,Padanan KBLI 2020,Jenis Perubahan,Skala Usaha → Tingkat Risiko,Perizinan Berusaha,Jangka Waktu Penerbitan
37002,Pengolahan dan Pembuangan Air Limbah,"Kelompok ini mencakup kegiatan pengoperasian fasilitas pengolahan air limbah, pengolahan air limbah melalui saluran. Kelompok ini juga mencakup pembersihan saluran air limbah dan saluran pembuangannya.","37021 - Treatment dan Pembuangan Air Limbah Tidak Berbahaya
37022 - Treatment dan Pembuangan Air Limbah Berbahaya",Gabung Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","Sertifikat Standar - Perizinan Berusaha Treatment dan Pembuangan Air Limbah Berbahaya
Sertifikat Standar - Perizinan Berusaha Treatment dan Pembuangan Air Limbah Tidak Berbahaya",5 Hari
38110,Pengumpulan Limbah atau Sampah Tidak Berbahaya,"Kelompok ini mencakup - pengumpulan limbah atau sampah padat yang tidak berbahaya dalam wilayah setempat, misalnya pengumpulan sampah rumah tangga dan usaha dengan menggunakan tempat sampah, kontainer sampah dan lain-lain, yang mungkin berisi berbagai material yang dapat dipulihkan; - pengumpulan bahan-bahan yang dapat didaur ulang (dipisahkan atau tidak); - pengumpulan limbah tidak berbahaya yang berasal dari hewan atau tumbuhan; - pengumpulan minyak dan lemak masak bekas pakai; - pengumpulan sampah di tempat umum; - pengumpulan limbah konstruksi dan pembongkaran bangunan; - pengumpulan dan pembersihan runtuhan atau puing; - pengumpulan sampah dari pabrik-pabrik industri; - pengoperasian fasilitas pemindah sampah untuk sampah yang tidak berbahaya. Kelompok ini tidak mencakup - pengumpulan air limbah, lihat golongan pokok 37; - pengumpulah limbah yang berbahaya, lihat subgolongan 3812; - pengoperasian tempat untuk pembuangan dan penyimpanan permanen limbah tidak berbahaya, lihat subgolongan 3821; - pengoperasian fasilitas pemilahan sampah yang dapat dipulihkan, lihat subgolongan 3830.",38110 - Pengumpulan limbah dan sampah tidak berbahaya,-,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah",Sertifikat Standar,-
38121,Pengumpulan Limbah Berbahaya Selain Limbah Radiokatif,"Kelompok ini mencakup pengumpulan limbah yang berbahaya serta sampah spesifik yang berbahaya nonradioaktif, yaitu bahan yang mudah meledak, bahan yang mudah teroksidasi, bahan yang mudah terbakar, bahan beracun, iritan, karsinogenik, korosif, bahan yang dapat menyebabkan infeksi, dan substansi dan preparat lainnya yang berbahaya untuk kesehatan manusia dan lingkungan. Kegiatan ini juga dapat mencakup identifikasi, penanganan, pengemasan dan pelabelan limbah berbahaya dan sampah spesifik yang berbahaya nonradioaktif untuk tujuan pengangkutan. Kelompok ini mencakup - pengumpulan limbah berbahaya dan sampah spesifik berbahaya, seperti minyak bekas pakai dari kapal atau bengkel, sampah biologis yang berbahaya (bio-hazardous), aki dan baterai bekas pakai, limbah berbahaya yang berasal dari hewan, obat-obatan yang sudah kedaluwarsa; - pengoperasian fasilitas pemindahan limbah untuk limbah berbahaya nonradioaktif.",38120 - Pengumpulan Limbah Berbahaya,Recoding/Pindah Kode,"Usaha Mikro → Menengah Rendah
Usaha Mikro → Tinggi
Usaha Kecil → Menengah Rendah
Usaha Kecil → Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Tinggi
Usaha Besar → Menengah Rendah
Usaha Besar → Tinggi","Izin
Izin - Perizinan Berusaha Kegiatan Pengelolaan Limbah B3 untuk Kegiatan Pengumpulan Limbah B3
Sertifikat Standar",10 Hari
38122,Pengumpulan Limbah Radioaktif,"Kelompok ini mencakup pengumpulan limbah radioaktif yang dapat mencakup identifikasi, penanganan, pengemasan, dan pelabelan limbah radioaktif. Kelompok ini juga mencakup kegiatan pengangkutan limbah radioaktif ke pengelola limbah.",38120 - Pengumpulan Limbah Berbahaya,Recoding/Pindah Kode,"Usaha Mikro → Menengah Rendah
Usaha Mikro → Tinggi
Usaha Kecil → Menengah Rendah
Usaha Kecil → Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Tinggi
Usaha Besar → Menengah Rendah
Usaha Besar → Tinggi","Izin
Izin - Perizinan Berusaha Kegiatan Pengelolaan Limbah B3 untuk Kegiatan Pengumpulan Limbah B3
Sertifikat Standar",10 Hari
38211,Pengolahan Sampah Tidak Berbahaya untuk Menghasilkan Energi,"Kelompok ini mencakup pembuangan limbah atau sampah yang tidak berbahaya melalui pembakaran atau metode lain, untuk menghasilkan produk berupa listrik atau uap, bahan bakar minyak terbarukan, bioenergi, abu, atau energi lainnya.",38211 - Treatment dan Pembuangan Limbah dan Sampah Tidak Berbahaya,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,10 Hari
38212,Produksi Kompos Sampah Organik,Kelompok ini mencakup kegiatan produksi kompos dari sampah organik dan abu tanaman (pupuk alam organik).,38212 - Produksi Kompos Sampah Organik,Tetap,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Rendah",NIB,-
38219,Pengolahan dan Pembuangan Limbah atau Sampah Tidak Berbahaya Lainnya,"Kelompok ini mencakup pengoperasian lahan untuk pembuangan limbah dan sampah yang tidak berbahaya, pembuangan limbah dan sampah yang tidak berbahaya melalui proses pemanasan, pembakaran, insinerasi, atau metode lainnya, dengan atau tanpa menghasilkan produk berupa bahan baku industri atau produk ikutan lainnya, selain energi,; pengolahan limbah dan sampah organik untuk pembuangan.",38211 - Treatment dan Pembuangan Limbah dan Sampah Tidak Berbahaya,Pecah Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,10 Hari
38221,Pengolahan dan Pembuangan Limbah atau Sampah Berbahaya Selain Limbah Radioaktif,"Kelompok ini mencakup pembuangan dan pengolahan sebelum pembuangan dari limbah berbahaya serta sampah spesifik berbahaya nonradioaktif yang dikelola oleh pemerintah maupun swasta, termasuk bahan mudah meledak, bahan mudah teroksidasi, bahan yang mudah terbakar, bahan beracun, iritan, karsinogenik, korosif atau bahan yang dapat menyebabkan infeksi dan substansi dan preparat lainnya yang berbahaya untuk kesehatan manusia dan lingkungan. Kelompok ini mencakup - pengoperasian fasilitas untuk pengolahan limbah berbahaya dan sampah spesifik nonradioaktif; - pengolahan dan pembuangan binatang hidup atau mati yang beracun dan limbah terkontaminasi lainnya; - pembakaran limbah berbahaya; - pembuangan barang bekas seperti lemari es untuk menghilangkan limbah berbahaya.",38220 - Treatment dan Pembuangan Limbah Berbahaya,Pecah Kode,"Usaha Mikro → Tinggi
Usaha Kecil → Tinggi
Usaha Menengah → Tinggi
Usaha Besar → Tinggi",Izin,10 Hari
38222,Pengolahan dan Pembuangan Limbah Radioaktif,"Kelompok ini mencakup pengolahan, pembuangan dan penyimpanan limbah radioaktif, termasuk: pengolahan dan pembuangan limbah radioaktif dalam masa transisi, yaitu peluruhan selama periode pengangkutan, dari rumah sakit; enkapsulasi, penyiapan, dan pengolahan lainnya terhadap limbah radioaktif.",38220 - Treatment dan Pembuangan Limbah Berbahaya,Pecah Kode,"Usaha Mikro → Tinggi
Usaha Kecil → Tinggi
Usaha Menengah → Tinggi
Usaha Besar → Tinggi",Izin,10 Hari
38301,Pemulihan Material Barang Logam,"Kelompok ini mencakup pengolahan barang bekas dari logam dan sisa-sisa barang logam menjadi bahan baku sekunder. Hasil dari daur ulang/pemulihan material barang logam adalah bahan baku sekunder berbagai bentuk, seperti potongan-potongan atau serpihan logam. Kegiatan pada kelompok ini mencakup pemisahan dan pemilahan sampah logam, penghancuran secara mekanis sampah logam, reduksi mekanis sampah logam, pembongkaran, pemotongan dan pengirisan sampah logam, pembongkaran kapal dan alat apung lainnya (ship breaking) dan lainnya. Pembuatan barang logam baru yang menggunakan bahan baku sekunder, barang logam bekas dan sisasisa barang logam dimasukkan dalam kelompok yang sesuai pada kategori C.",38301 - Pemulihan Material Barang Logam,Tetap,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Tinggi","Izin
Sertifikat Standar","-
7 Hari"
38302,Pemulihan Material Barang Plastik,Kelompok ini mencakup pengolahan barang bekas dari plastik menjadi bahan baku sekunder. Kegiatan pada kelompok ini mencakup pemilahan plastik dan pengolahan limbah plastik menjadi granul.,38302 - Pemulihan Material Barang Bukan Logam,-,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
38309,Pemulihan Material Lainnya,"Kelompok ini mencakup usaha pengolahan barang bekas dari material lainnya menjadi bahan baku sekunder. Hasil dari daur ulang/pemulihan material lainnya adalah bahan baku sekunder berbagai bentuk, seperti potongan-potongan atau serpihan. Kegiatan pada kelompok ini mencakup pemulihan karet seperti ban bekas; pengolahan limbah karet menjadi granul; pemilahan, pemulihan, dan pengolahan mekanis atau kimia limbah tekstil/tekstil bekas, pakaian jadi bekas, dan barang jadi tekstil lainnya bekas untuk menghasilkan bahan baku sekunder; penghancuran, pembersihan dan pemilahan kaca; pemulihan limbah minyak, pengolahan minyak goreng dan lemak bekas pakai menjadi bahan baku sekunder; pengolahan sampah makanan, minuman, tembakau, limbah pertanian, limbah perikanan dan sampah bukan logam lainnya.",38302 - Pemulihan Material Barang Bukan Logam,Pecah Kode,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
39001,Aktivitas Penangkapan Karbon,"Kelompok ini mencakup jasa penangkapan emisi karbon dari berbagai sumber untuk mencegah pelepasannya ke atmosfer. Kelompok ini mencakup penangkapan emisi karbon dari sektor industri seperti pembangkit listrik dan pabrik manufaktur; penangkapan emisi karbon melalui teknologi prapembakaran, pascapembakaran, pembakaran oxy-fuel; penangkapan emisi karbon langsung dari udara sekitar; pemisahan, pemampatan, penyimpanan sementara karbon sebelum pengangkutan. Kelompok ini tidak mencakup - penyerapan dan penyimpanan karbon (sekuestrasi karbon) secara alami, lihat kelompok 02101.",39000 - Aktivitas Remediasi dan Pengelolaan Limbah dan Sampah Lainnya,Pecah Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi
Usaha Besar → Tinggi","Izin - Izin Eksplorasi Zona Target Injeksi
Izin - Izin Operasi Penyimpanan Karbon
Sertifikat Standar - Izin Penyelenggaraan Fasilitas Parkir","15 Hari
20 Hari"
39002,Aktivitas Penyimpanan Karbon,"Kelompok ini mencakup jasa eksplorasi, penginjeksian dan penyimpanan secara aman dan permanen emisi karbon pada formasi geologis di bekas lapangan minyak dan gas bumi, akuifer air asin, lapisan batu bara, batuan beku (basal), on-shore dan bawah laut. Kelompok ini juga mencakup jasa penunjang penyimpanan karbon atas dasar balas jasa (fee) atau kontrak. Kelompok ini tidak mencakup - ekstraksi minyak bumi menggunakan karbon untuk meningkatkan perolehan minyak, lihat kelompok 06100.",39000 - Aktivitas Remediasi dan Pengelolaan Limbah dan Sampah Lainnya,Pecah Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi
Usaha Besar → Tinggi","Izin - Izin Eksplorasi Zona Target Injeksi
Izin - Izin Operasi Penyimpanan Karbon
Sertifikat Standar - Izin Penyelenggaraan Fasilitas Parkir","15 Hari
20 Hari"
39009,Aktivitas Remediasi dan Pengelolaan Limbah atau Sampah Lainnya,"Kelompok ini mencakup kegiatan jasa pembersihan dan pengelolaan limbah dan sampah lainnya oleh pemerintah dan swasta, seperti: - dekontaminasi tanah dan air tanah di tempat yang tercemar polusi, baik in situ dan ex situ, menggunakan metode mekanik, kimia atau biologi; - dekontaminasi tempat atau pabrik industri, termasuk tapak/lokasi dan instalasi nuklir; - dekontaminasi dan pembersihan air permukaan akibat polusi, contoh karena terkumpulnya polutan atau karena bahan kimia lainnya; - pembersihan minyak yang tumpah (oil spill) dan polusi lain pada tanah, air permukaan, di samudra dan laut, termasuk pesisir pantai; - pengurangan asbes, cat dan bahan-bahan beracun lainnya; kegiatan pengontrol polusi khusus lainnya; - penyemprotan kuman, dan jasa kebersihan lainnya yang sejenis.",39000 - Aktivitas Remediasi dan Pengelolaan Limbah dan Sampah Lainnya,Pecah Kode,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi
Usaha Besar → Tinggi","Izin - Izin Eksplorasi Zona Target Injeksi
Izin - Izin Operasi Penyimpanan Karbon
Sertifikat Standar - Izin Penyelenggaraan Fasilitas Parkir","15 Hari
20 Hari"
41011,Konstruksi Konvensional Gedung Hunian,"Kelompok ini mencakup kegiatan pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan dengan metode konvensional yang dipakai untuk hunian, seperti rumah tinggal, rumah tinggal sementara, rumah susun, serta apartemen dan kondominium. Kelompok ini juga mencakup kegiatan perubahan dan renovasi gedung hunian.",41011 - Konstruksi Gedung Hunian,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,15 Hari
41012,Konstruksi Konvensional Gedung Perkantoran,"Kelompok ini mencakup kegiatan pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan dengan metode konvensional yang dipakai untuk gedung perkantoran, seperti kantor dan rumah kantor (rukan). Kelompok ini juga mencakup kegiatan perubahan dan renovasi gedung perkantoran.",41012 - Konstruksi Gedung Perkantoran,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,15 Hari
41013,Konstruksi Konvensional Gedung Industri,"Kelompok ini mencakup kegiatan pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan dengan metode konvensional yang dipakai untuk industri, seperti gedung perindustrian/pabrik, gedung bengkel kerja/workshop, serta bangunan pabrik untuk pengelolaan dan pemrosesan bahan nuklir. Kelompok ini juga mencakup perubahan dan renovasi gedung industri.",41013 - Konstruksi Gedung Industri,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,15 Hari
41014,Konstruksi Konvensional Gedung Perbelanjaan,"Kelompok ini mencakup kegiatan pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan dengan metode konvensional yang dipakai untuk perbelanjaan, seperti gedung perdagangan/pasar/mal, toserba, toko, rumah toko (ruko), dan warung. Kelompok ini juga mencakup perubahan dan renovasi gedung perbelanjaan.",41014 - Konstruksi Gedung Perbelanjaan,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,15 Hari
41015,Konstruksi Konvensional Gedung Kesehatan,"Kelompok ini mencakup kegiatan pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan dengan metode konvensional yang dipakai untuk sarana kesehatan, seperti rumah sakit, poliklinik, puskesmas, balai pengobatan, gedung pelayanan kesehatan, dan gedung laboratorium. Kelompok ini juga mencakup perubahan dan renovasi gedung kesehatan.",41015 - Konstruksi Gedung Kesehatan,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,15 Hari
41016,Konstruksi Konvensional Gedung Pendidikan,"Kelompok ini mencakup kegiatan pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan dengan metode konvensional yang dipakai untuk sarana pendidikan, seperti gedung sekolah, tempat kursus, dan laboratorium. Kelompok ini juga mencakup perubahan dan renovasi gedung pendidikan.",41016 - Konstruksi Gedung Pendidikan,-,"Usaha Mikro → Menengah Tinggi
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi",Sertifikat Standar,15 Hari
